03-10 19:05:02.640,skmsa.apiutil.interceptor.JournalAOP    ,                                    ,  ,INFO ,  restartedMain,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-10 19:05:19.022,skmsa.apiutil.interceptor.JournalAOP    ,492b90e6-be45-48e6-b61b-1bda6803e8b8,  ,INFO ,KafkaConsumerDestination{consumerDestinationName='sampleAChanged', partitions=1, dlqName='null'}.container-0-C-1,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-10 19:05:20.038,skmsa.apiutil.interceptor.JournalAOP    ,a6be498c-f9f2-45ed-ba4d-c2fb54fcb4e4,  ,INFO ,KafkaConsumerDestination{consumerDestinationName='sampleAChanged', partitions=1, dlqName='null'}.container-0-C-1,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-10 19:05:22.059,skmsa.apiutil.interceptor.JournalAOP    ,2b2f4633-32b4-4899-b063-caf3fc78b72d,  ,INFO ,KafkaConsumerDestination{consumerDestinationName='sampleAChanged', partitions=1, dlqName='null'}.container-0-C-1,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-10 19:13:37.688,skmsa.apiutil.interceptor.JournalAOP    ,fa16d57b-46e9-48bb-a749-1f5ddce4a1f3, 1,INFO ,http-nio-8091-exec-4,|-->: sample.a.controller.SampleAController.registerLecture, args: LecturesPostInDTO(title=강의02, minEnrollment=6, maxEnrollment=12, lectureStatus=OPEN_REGISTER),org.springframework.validation.BeanPropertyBindingResult: 0 errors,  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:64)
03-10 19:13:38.698,skmsa.apiutil.interceptor.JournalAOP    ,fa16d57b-46e9-48bb-a749-1f5ddce4a1f3, 2,INFO ,http-nio-8091-exec-4,|   |--> sample.a.service.impl.SampleAServiceImpl.registerLecture, args: SampleA(id=null, version=null, title=강의02, minEnrollment=6, maxEnrollment=12, lectureStatus=OPEN_REGISTER),  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:151)
03-10 19:13:38.701,skmsa.apiutil.interceptor.JournalAOP    ,fa16d57b-46e9-48bb-a749-1f5ddce4a1f3, 2,INFO ,http-nio-8091-exec-4,|   |<--, Exec: 3ms3, Result: SampleA(id=8, version=0, title=강의02, minEnrollment=6, maxEnrollment=12, lectureStatus=OPEN_REGISTER)  >>::ller+0	 at skmsa.apiutil.interceptor.JournalAOP.logAction(JournalAOP.java:157)
03-10 19:13:38.735,skmsa.apiutil.interceptor.JournalAOP    ,fa16d57b-46e9-48bb-a749-1f5ddce4a1f3, 1,INFO ,http-nio-8091-exec-4,|<--: sample.a.controller.SampleAController.registerLecture, Exec: 1046ms, Result: <200 OK OK,LecturesPostOutDTO(id=8, version=0, title=강의02, minEnrollment=6, maxEnrollment=12, registerEndDt=null, lectureStatus=OPEN_REGISTER),[]>  >>::	 at skmsa.apiutil.interceptor.JournalAOP.controllerAspect(JournalAOP.java:73)
03-10 19:13:38.741,skmsa.apiutil.interceptor.JournalAOP    ,64fd5275-a7fb-494a-84ac-693ed1f635cb,  ,INFO ,KafkaConsumerDestination{consumerDestinationName='sampleAChanged', partitions=1, dlqName='null'}.container-0-C-1,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-10 19:13:39.755,skmsa.apiutil.interceptor.JournalAOP    ,5cfacc8d-b771-4b1b-bd2a-749b5547770d,  ,INFO ,KafkaConsumerDestination{consumerDestinationName='sampleAChanged', partitions=1, dlqName='null'}.container-0-C-1,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  03-10 19:13:41.766,skmsa.apiutil.interceptor.JournalAOP    ,72949381-058e-4c16-b27f-2f414f17b034,  ,INFO ,KafkaConsumerDestination{consumerDestinationName='sampleAChanged', partitions=1, dlqName='null'}.container-0-C-1,[SKMSA JournalAOP  생성자] >>::Caller+0	 at skmsa.apiutil.interceptor.JournalAOP.<init>(JournalAOP.java:31)
  
